state,transactions
Andaman & Nicobar,3545352220
Andhra Pradesh,3720673119
Arunachal Pradesh,37076735
Assam,393876735
Bihar,1783829189
Chandigarh,836604309
Chhattisgarh,743966520
Dadra and Nagar Haveli and Daman and Diu,43966520
Delhi,3195307243
Goa,98849639
Gujarat,1686626195
Haryana,149750075
Himachal Pradesh,168282681
Jammu & Kashmir,138142722
Jharkhand,836946885
Karnataka,7969094941
Kerala,747772928
Ladakh,7123601
Madhya Pradesh,3175045300
Maharashtra,8213777225
Manipur,42653311
Meghalaya,20072666
Mizoram,5796340
Nagaland,17012913
Odisha,1952761708
Puducherry,488033696
Punjab,59384639
Rajasthan,3951615433
Sikkim,18730367
Tamil Nadu,2090985852
Telangana,786068891
Tripura,32364668
Uttarakhand,2653652151
Uttar Pradesh,430785989
West Bengal,2139229656
