states,Transaction_Year,Transaction_Count,Transaction_Amount
Andaman & Nicobar,2021,382418,1116789011
Andaman & Nicobar,2021,46592,118254865.8
Andaman & Nicobar,2021,20754,74980519.33
Andaman & Nicobar,2021,558571,1694794708
Andaman & Nicobar,2021,53115,156486112.3
Andaman & Nicobar,2021,24437,81329281.03
Andaman & Nicobar,2022,705512,1872991196
Andaman & Nicobar,2022,60059,161624878.5
Andaman & Nicobar,2022,29177,94414127.65
Andaman & Nicobar,2022,954875,2357326563
Andaman & Nicobar,2022,72573,195693167.8
Andaman & Nicobar,2022,43769,132900618.9
Andaman & Nicobar,2022,1455255,2967719401
Andaman & Nicobar,2022,79574,211581970.3
Andaman & Nicobar,2022,49550,131330400.9
Andaman & Nicobar,2022,1835592,3600887266
Andaman & Nicobar,2022,93297,241431284.4
Andaman & Nicobar,2022,58646,142355854
Andhra Pradesh,2018,1256469,1749966197
Andhra Pradesh,2018,943935,1235785516
Andhra Pradesh,2018,863935,1284255180
Andhra Pradesh,2018,830324,1009621878
Andhra Pradesh,2018,815932,1108686589
Andhra Pradesh,2018,679623,764905298.7
Andhra Pradesh,2018,638664,788830646
Andhra Pradesh,2018,577090,853547668.8
Andhra Pradesh,2018,534757,748990775.9
Andhra Pradesh,2018,531612,676643237.8
Andhra Pradesh,2018,1641192,2987853607
Andhra Pradesh,2018,1224987,2448141593
Andhra Pradesh,2018,1221677,2168914928
Andhra Pradesh,2018,1185723,1990419126
Andhra Pradesh,2018,1088101,2108475812
Andhra Pradesh,2018,968439,1531888666
Andhra Pradesh,2018,937023,1690366079
Andhra Pradesh,2018,786033,1688025212
Andhra Pradesh,2018,780454,1542057934
Andhra Pradesh,2018,739991,1571167562
Andhra Pradesh,2018,3394576,4821892253
Andhra Pradesh,2018,3226907,3551247095
Andhra Pradesh,2018,2921189,2908389262
Andhra Pradesh,2018,2396934,3754202654
Andhra Pradesh,2018,2297429,3283517631
Andhra Pradesh,2018,1912529,3127764663
Andhra Pradesh,2018,1815215,2681787750
Andhra Pradesh,2018,1557444,2235904512
Andhra Pradesh,2018,1431282,2309078493
Andhra Pradesh,2018,1319651,2346453445
Andhra Pradesh,2018,4791421,7366635865
Andhra Pradesh,2018,3166201,4979093890
Andhra Pradesh,2018,3052762,4652624623
Andhra Pradesh,2018,2839161,5416251838
